Date,price,short_mavg,long_mavg,signal,positions
2024-01-02 00:00:00+00:00,48.167999267578125,,,0.0,
2024-01-03 00:00:00+00:00,47.569000244140625,,,0.0,0.0
2024-01-04 00:00:00+00:00,47.99800109863281,,,0.0,0.0
2024-01-05 00:00:00+00:00,49.09700012207031,,,0.0,0.0
2024-01-08 00:00:00+00:00,52.25299835205078,49.01699981689453,,0.0,0.0
2024-01-09 00:00:00+00:00,53.13999938964844,50.011399841308595,,0.0,0.0
2024-01-10 00:00:00+00:00,54.349998474121094,51.36759948730469,,0.0,0.0
2024-01-11 00:00:00+00:00,54.821998596191406,52.732398986816406,,0.0,0.0
2024-01-12 00:00:00+00:00,54.709999084472656,53.85499877929688,,0.0,0.0
2024-01-16 00:00:00+00:00,56.38199996948242,54.680799102783205,,0.0,0.0
2024-01-17 00:00:00+00:00,56.053001403808594,55.26339950561523,,0.0,0.0
2024-01-18 00:00:00+00:00,57.106998443603516,55.81479949951172,,0.0,0.0
2024-01-19 00:00:00+00:00,59.49100112915039,56.748600006103516,,0.0,0.0
2024-01-22 00:00:00+00:00,59.65399932861328,57.73740005493164,,0.0,0.0
2024-01-23 00:00:00+00:00,59.87300109863281,58.43560028076172,,0.0,0.0
2024-01-24 00:00:00+00:00,61.36199951171875,59.49739990234375,,0.0,0.0
2024-01-25 00:00:00+00:00,61.617000579833984,60.399400329589845,,0.0,0.0
2024-01-26 00:00:00+00:00,61.03099822998047,60.70739974975586,,0.0,0.0
2024-01-29 00:00:00+00:00,62.46500015258789,61.26959991455078,,0.0,0.0
2024-01-30 00:00:00+00:00,62.77399826049805,61.84979934692383,55.99579963684082,1.0,1.0
2024-01-31 00:00:00+00:00,61.527000427246094,61.882799530029295,56.66374969482422,1.0,0.0
2024-02-01 00:00:00+00:00,63.027000427246094,62.164799499511716,57.43664970397949,1.0,0.0
2024-02-02 00:00:00+00:00,66.16000366210938,63.1906005859375,58.34474983215332,1.0,0.0
2024-02-05 00:00:00+00:00,69.33200073242188,64.56400070190429,59.3564998626709,1.0,0.0
2024-02-06 00:00:00+00:00,68.2229995727539,65.65380096435547,60.15499992370606,1.0,0.0
2024-02-07 00:00:00+00:00,70.0989990234375,67.36820068359376,61.00294990539551,1.0,0.0
2024-02-08 00:00:00+00:00,69.64099884033203,68.69100036621094,61.767499923706055,1.0,0.0
2024-02-09 00:00:00+00:00,72.13300323486328,69.88560028076172,62.63305015563965,1.0,0.0
2024-02-12 00:00:00+00:00,72.24800109863281,70.4688003540039,63.50995025634766,1.0,0.0
2024-02-13 00:00:00+00:00,72.12799835205078,71.24980010986329,64.29725017547608,1.0,0.0
2024-02-14 00:00:00+00:00,73.9000015258789,72.01000061035157,65.18960018157959,1.0,0.0
2024-02-15 00:00:00+00:00,72.65799713134766,72.61340026855468,65.9671501159668,1.0,0.0
2024-02-16 00:00:00+00:00,72.61299896240234,72.7093994140625,66.6232500076294,1.0,0.0
2024-02-20 00:00:00+00:00,69.4520034790039,72.15019989013672,67.11315021514892,1.0,0.0
2024-02-21 00:00:00+00:00,67.47200012207031,71.21900024414063,67.4931001663208,1.0,0.0
2024-02-22 00:00:00+00:00,78.53800201416016,72.14660034179687,68.35190029144287,1.0,0.0
2024-02-23 00:00:00+00:00,78.81700134277344,73.37840118408204,69.21190032958984,1.0,0.0
2024-02-26 00:00:00+00:00,79.09200286865234,74.67420196533203,70.11495056152344,1.0,0.0
2024-02-27 00:00:00+00:00,78.70099639892578,76.52400054931641,70.92675037384033,1.0,0.0
2024-02-28 00:00:00+00:00,77.66300201416016,78.56220092773438,71.67120056152343,1.0,0.0
2024-02-29 00:00:00+00:00,79.11199951171875,78.6770004272461,72.55045051574707,1.0,0.0
2024-03-01 00:00:00+00:00,82.27899932861328,79.36940002441406,73.51305046081544,1.0,0.0
2024-03-04 00:00:00+00:00,85.23699951171875,80.59839935302735,74.4669002532959,1.0,0.0
2024-03-05 00:00:00+00:00,85.96399688720703,82.05099945068359,75.29850006103516,1.0,0.0
2024-03-06 00:00:00+00:00,88.69999694824219,84.2583984375,76.32234992980958,1.0,0.0
2024-03-07 00:00:00+00:00,92.66899871826172,86.9697982788086,77.45084991455079,1.0,0.0
2024-03-08 00:00:00+00:00,87.52799987792969,88.01959838867188,78.34519996643067,1.0,0.0
2024-03-11 00:00:00+00:00,85.77400207519531,88.12699890136719,79.02724990844726,1.0,0.0
2024-03-12 00:00:00+00:00,91.91300201416016,89.31679992675781,80.01049995422363,1.0,0.0
2024-03-13 00:00:00+00:00,90.88800048828125,89.75440063476563,80.94850006103516,1.0,0.0
2024-03-14 00:00:00+00:00,87.94400024414062,88.80940093994141,81.65069999694825,1.0,0.0
2024-03-15 00:00:00+00:00,87.83699798583984,88.87120056152344,82.40965003967285,1.0,0.0
2024-03-18 00:00:00+00:00,88.45500183105469,89.40740051269532,83.20175018310547,1.0,0.0
2024-03-19 00:00:00+00:00,89.39800262451172,88.90440063476562,84.19905014038086,1.0,0.0
2024-03-20 00:00:00+00:00,90.37200164794922,88.80120086669922,85.3440502166748,1.0,0.0
2024-03-21 00:00:00+00:00,91.43499755859375,89.49940032958985,85.98889999389648,1.0,0.0
2024-03-22 00:00:00+00:00,94.28900146484375,90.78980102539063,86.7625,1.0,0.0
2024-03-25 00:00:00+00:00,95.00199890136719,92.09920043945313,87.55799980163575,1.0,0.0
2024-03-26 00:00:00+00:00,92.56099700927734,92.73179931640625,88.25099983215333,1.0,0.0
2024-03-27 00:00:00+00:00,90.25,92.7073989868164,88.8803497314453,1.0,0.0
